Frame_Pair,Delta_tx,Delta_ty,Delta_tz,Delta_yaw(degrees),Delta_pitch(degrees),Delta_roll(degrees)
Frame172_to_Frame173,2.76,0.92,-0.69,-0.400651641,0.04272553,-0.099963677
Frame173_to_Frame174,1.1,0.18,0.6,-0.123680128,-0.045728218,-0.104340226
Frame174_to_Frame175,1.89,0.16,-0.5,-0.069026282,0.151232814,-0.131945893
Frame175_to_Frame176,1.01,-0.05,-0.4,-0.011076066,0.095891665,-0.063837157
Frame176_to_Frame177,1.65,-0.51,0.13,0.193572848,0.112757236,-0.110670033
Frame177_to_Frame178,1.92,-0.29,-0.84,0.099306733,0.319667992,-0.052343375
Frame178_to_Frame179,1.37,-0.11,-0.67,0.012354245,0.223475586,-0.011994402
Frame179_to_Frame180,2.62,-1.23,-0.03,0.123039387,0.450872031,-0.240803252
Frame180_to_Frame181,1.05,0.64,-0.46,-0.087639024,0.434903164,0.134743418
Frame181_to_Frame182,1.62,0.55,-0.89,-0.202538258,0.551588134,0.062972753
Frame182_to_Frame183,3.3,-0.84,-0.43,0.011151172,0.716976902,-0.217834843
Frame183_to_Frame184,1.35,0.28,-0.81,-0.031181273,0.502333688,0.066254273
Frame184_to_Frame185,2.33,-0.45,-0.72,-0.085227694,0.428939743,-0.016548971
Frame185_to_Frame186,1.89,-0.28,-0.48,-0.103050726,0.280329181,-0.010859898
Frame186_to_Frame187,1.2,0.13,-0.54,-0.145814577,0.064927587,0.078914698
Frame187_to_Frame188,2.31,-0.4,-0.38,0.032441318,0.307858431,-0.047179924
Frame188_to_Frame189,2.21,-0.15,-0.09,0.088043284,0.531957957,-0.094179348
Frame189_to_Frame190,0,0,0,0,0,0
