FrameNum,tx,ty,tz,yaw(degrees),pitch(degrees),roll(degrees)
Frame170,512.75,354.19,277.61,-8.716163941489615,-77.46359339944163,177.54710141909874
Frame171,514.55,355.01,276.8,-8.779086240009326,-77.7133727716102,177.28060652859762
Frame172,515.88,354.9,277.03,-8.394602110736269,-77.7538201132685,177.6043351722975
Frame173,518.64,355.82,276.34,-7.563226276763798,-77.80968251451478,178.04500373468136
Frame174,519.74,356.0,276.94,-6.934600605955916,-77.77736721631119,178.56167156468354
Frame175,521.63,356.16,276.44,-6.336899456254096,-77.94276745248725,179.10226082125962
Frame176,522.64,356.11,276.04,-6.076057495789276,-78.04499372620343,179.3575576988168
Frame177,524.29,355.6,276.17,-5.803256219172603,-78.16876493553087,179.83405107156895
Frame178,526.21,355.31,275.33,-5.80820420970498,-78.49210511808448,179.9302518518486
Frame179,527.58,355.2,274.66,-5.874292778662497,-78.71563990740077,179.8754130669837
Frame180,530.2,353.97,274.63,-4.989837350078145,-79.18751206577859,-179.09904120265173
Frame181,531.25,354.61,274.17,-5.836816359163373,-79.60791190664209,179.95063524082846
Frame182,532.87,355.16,273.28,-6.306866359859879,-80.1499671681203,179.26773096134997
Frame183,536.17,354.32,272.85,-5.459746140382462,-80.88552994664819,-179.86350856422254
Frame184,537.52,354.6,272.04,-6.176847002436201,-81.37860178178245,179.37945756401166
Frame185,539.85,354.15,271.32,-6.293299569604298,-81.8068245083641,179.17552526175547
Frame186,541.74,353.87,270.84,-6.329969411668319,-82.08666651371732,179.03438667645096
Frame187,542.94,354.0,270.3,-6.803327105587148,-82.14225352023372,178.40934902535733
Frame188,545.25,353.6,269.92,-6.758658376501924,-82.45353214795094,178.4870328781552
Frame189,547.46,353.45,269.83,-6.601576126841253,-82.99285940781277,178.73370524025518
Frame190,547.46,353.45,269.83,-6.601576126841253,-82.99285940781277,178.73370524025518
