Element_0,Element_1,Element_2,Element_3,Element_4,Element_5,Element_6,Element_7,Element_8,Element_9,Element_10,Element_11,Element_12,Element_13,Element_14,Element_15
0.53065,0.021852,-0.84731,408.46,0.16002,-0.98427,0.074835,347.47,-0.83235,-0.1753,-0.5258,286.68,0.0,0.0,0.0,1.0
0.52376,0.023157,-0.85155,410.63,0.15969,-0.98458,0.071448,347.6,-0.83676,-0.17341,-0.51938,286.73,0.0,0.0,0.0,1.0
0.52037,0.024334,-0.85359,412.25,0.15792,-0.98509,0.068191,347.77,-0.83921,-0.17028,-0.51646,287.34,0.0,0.0,0.0,1.0
0.51629,0.023182,-0.85609,414.16,0.15445,-0.98576,0.066457,348.11,-0.84236,-0.16654,-0.51252,287.12,0.0,0.0,0.0,1.0
0.51132,0.023306,-0.85906,416.12,0.14976,-0.98674,0.062374,348.87,-0.84623,-0.16055,-0.50803,287.3,0.0,0.0,0.0,1.0
0.50463,0.02481,-0.86298,419.59,0.15192,-0.98654,0.060474,348.79,-0.84986,-0.16162,-0.50161,287.61,0.0,0.0,0.0,1.0
0.49788,0.027577,-0.8668,421.23,0.15346,-0.98652,0.056763,348.94,-0.85355,-0.16128,-0.4954,288.16,0.0,0.0,0.0,1.0
0.48989,0.028664,-0.8713,422.9,0.15281,-0.98681,0.053463,349.22,-0.85827,-0.15933,-0.4878,287.92,0.0,0.0,0.0,1.0
0.47489,0.030537,-0.87951,425.14,0.15012,-0.98756,0.046769,349.88,-0.86714,-0.15424,-0.47357,287.7,0.0,0.0,0.0,1.0
0.45908,0.034316,-0.8877,427.76,0.15156,-0.98762,0.040214,350.12,-0.87534,-0.153,-0.4586,287.32,0.0,0.0,0.0,1.0
0.44185,0.035635,-0.89638,431.84,0.14773,-0.98846,0.033527,350.65,-0.88484,-0.14724,-0.44201,287.27,0.0,0.0,0.0,1.0
0.43369,0.037134,-0.90028,434.78,0.14628,-0.98879,0.029684,351.48,-0.88911,-0.14457,-0.43426,287.96,0.0,0.0,0.0,1.0
0.42387,0.038496,-0.90488,437.47,0.14418,-0.98921,0.025461,352.18,-0.89416,-0.14126,-0.42485,287.74,0.0,0.0,0.0,1.0
0.41481,0.038647,-0.90907,440.37,0.13617,-0.99048,0.02003,353.83,-0.89965,-0.13209,-0.41612,287.43,0.0,0.0,0.0,1.0
0.4022,0.040443,-0.91464,442.08,0.13315,-0.99098,0.014744,354.8,-0.9058,-0.12772,-0.40396,286.55,0.0,0.0,0.0,1.0
0.38408,0.041901,-0.92232,444.42,0.13432,-0.99086,0.010932,355.0,-0.91346,-0.12809,-0.3862,285.99,0.0,0.0,0.0,1.0
0.3724,0.041531,-0.92711,445.8,0.13419,-0.99088,0.0095156,355.09,-0.91831,-0.12795,-0.37458,285.49,0.0,0.0,0.0,1.0
0.35675,0.040676,-0.93325,447.99,0.13885,-0.9902,0.0099223,354.64,-0.92381,-0.13313,-0.35892,285.56,0.0,0.0,0.0,1.0
0.34002,0.039572,-0.93958,450.71,0.13888,-0.99027,0.0085523,354.3,-0.93011,-0.1334,-0.34221,284.6,0.0,0.0,0.0,1.0
0.3358,0.040603,-0.94106,452.24,0.14097,-0.98998,0.0075908,354.3,-0.93132,-0.13521,-0.33816,284.7,0.0,0.0,0.0,1.0
0.33292,0.041697,-0.94203,454.17,0.14121,-0.98996,0.0060864,353.64,-0.93232,-0.13505,-0.33547,284.86,0.0,0.0,0.0,1.0
0.32597,0.044629,-0.94432,455.87,0.13901,-0.99029,0.0011848,354.18,-0.9351,-0.13166,-0.329,284.64,0.0,0.0,0.0,1.0
0.3193,0.045297,-0.94657,457.73,0.13832,-0.99039,-0.00073448,354.38,-0.9375,-0.1307,-0.32249,284.5,0.0,0.0,0.0,1.0
0.31437,0.045125,-0.94822,459.23,0.13706,-0.99056,-0.0016962,354.53,-0.93935,-0.12943,-0.31759,284.17,0.0,0.0,0.0,1.0
